product_id,handle,title,variant_id,variant_title,price,compare_at_price
14952881914228,heavy-play-etb-playmat-art-masters-lightning-bolt-by-phil-stone,Heavy Play ETB Playmat Art Masters - Lightning Bolt by Phil Stone,53932690571636,Default Title,89.99,89.99
14952881881460,sleeve-kings-premium-board-game-sleeves-standard-american-size-57mm-x-89mm-55ct,Sleeve Kings Premium Board Game Sleeves - Standard American Size - 57mm X 89mm - 55ct,53932690538868,Default Title,3.99,3.99
14952881848692,heavy-play-etb-playmat-art-masters-silence-by-phil-stone,Heavy Play ETB Playmat Art Masters - Silence by Phil Stone,53932690473332,Default Title,89.99,89.99
14952881815924,heavy-play-etb-playmat-art-masters-lotus-by-chris-seaman,Heavy Play ETB Playmat Art Masters - Lotus by Chris Seaman,53932690506100,Default Title,89.99,89.99
14952881783156,heavy-play-etb-playmat-art-masters-animate-dead-by-phil-stone,Heavy Play ETB Playmat Art Masters - Animate Dead by Phil Stone,53932690440564,Default Title,89.99,89.99
14953000206708,the-last-ronins-technique-12-teenage-mutant-ninja-turtles-non-foil,The Last Ronin's Technique [12] [Teenage Mutant Ninja Turtles] [Non-Foil],53932872204660,NM,0.49,0.49
14953000206708,the-last-ronins-technique-12-teenage-mutant-ninja-turtles-non-foil,The Last Ronin's Technique [12] [Teenage Mutant Ninja Turtles] [Non-Foil],53932872237428,PL,0.00,
14953000173940,the-last-ronins-technique-12-teenage-mutant-ninja-turtles-foil,The Last Ronin's Technique [12] [Teenage Mutant Ninja Turtles] [Foil],53932872139124,NM,0.49,0.49
14953000173940,the-last-ronins-technique-12-teenage-mutant-ninja-turtles-foil,The Last Ronin's Technique [12] [Teenage Mutant Ninja Turtles] [Foil],53932872171892,PL,0.00,
14928460120436,the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-foil,The Cloning of Shredder [60] [Teenage Mutant Ninja Turtles] [Foil],53880821186932,NM,12.99,12.99
14928460120436,the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-foil,The Cloning of Shredder [60] [Teenage Mutant Ninja Turtles] [Foil],53880821219700,PL,0.00,
14928458842484,triceraton-commander-25-teenage-mutant-ninja-turtles-non-foil,Triceraton Commander [25] [Teenage Mutant Ninja Turtles] [Non-Foil],53880818696564,NM,9.99,9.99
14928458842484,triceraton-commander-25-teenage-mutant-ninja-turtles-non-foil,Triceraton Commander [25] [Teenage Mutant Ninja Turtles] [Non-Foil],53880818729332,PL,0.00,
14928458809716,triceraton-commander-25-teenage-mutant-ninja-turtles-foil,Triceraton Commander [25] [Teenage Mutant Ninja Turtles] [Foil],53880818631028,NM,12.99,12.99
14928458809716,triceraton-commander-25-teenage-mutant-ninja-turtles-foil,Triceraton Commander [25] [Teenage Mutant Ninja Turtles] [Foil],53880818663796,PL,0.00,
14928457761140,tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-foil,"Tokka & Rahzar, Terrible Twos [171] [Teenage Mutant Ninja Turtles] [Foil]",53880816533876,NM,4.99,4.99
14928457761140,tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-foil,"Tokka & Rahzar, Terrible Twos [171] [Teenage Mutant Ninja Turtles] [Foil]",53880816566644,PL,0.00,
14928457728372,tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-non-foil,"Tokka & Rahzar, Terrible Twos [171] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880816468340,NM,3.99,3.99
14928457728372,tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-non-foil,"Tokka & Rahzar, Terrible Twos [171] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880816501108,PL,0.00,
14928459956596,the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-non-foil,The Cloning of Shredder [60] [Teenage Mutant Ninja Turtles] [Non-Foil],53880820793716,NM,9.99,9.99
14928459956596,the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-non-foil,The Cloning of Shredder [60] [Teenage Mutant Ninja Turtles] [Non-Foil],53880820826484,PL,0.00,
14928458023284,technodrome-179-teenage-mutant-ninja-turtles-foil,Technodrome [179] [Teenage Mutant Ninja Turtles] [Foil],53880817058164,NM,24.99,24.99
14928458023284,technodrome-179-teenage-mutant-ninja-turtles-foil,Technodrome [179] [Teenage Mutant Ninja Turtles] [Foil],53880817090932,PL,0.00,
14928457990516,the-ooze-177-teenage-mutant-ninja-turtles-non-foil,The Ooze [177] [Teenage Mutant Ninja Turtles] [Non-Foil],53880816992628,NM,5.99,5.99
14928457990516,the-ooze-177-teenage-mutant-ninja-turtles-non-foil,The Ooze [177] [Teenage Mutant Ninja Turtles] [Non-Foil],53880817025396,PL,0.00,
14928457957748,technodrome-179-teenage-mutant-ninja-turtles-non-foil,Technodrome [179] [Teenage Mutant Ninja Turtles] [Non-Foil],53880816927092,NM,19.99,19.99
14928457957748,technodrome-179-teenage-mutant-ninja-turtles-non-foil,Technodrome [179] [Teenage Mutant Ninja Turtles] [Non-Foil],53880816959860,PL,0.00,
14928457924980,the-ooze-177-teenage-mutant-ninja-turtles-foil,The Ooze [177] [Teenage Mutant Ninja Turtles] [Foil],53880816861556,NM,7.99,7.99
14928457924980,the-ooze-177-teenage-mutant-ninja-turtles-foil,The Ooze [177] [Teenage Mutant Ninja Turtles] [Foil],53880816894324,PL,0.00,
14928457204084,the-last-ronin-154-teenage-mutant-ninja-turtles-non-foil,The Last Ronin [154] [Teenage Mutant Ninja Turtles] [Non-Foil],53880815354228,NM,5.99,5.99
