product_id,title,handle,vendor,product_type,tags,created_at,published_at,product_url,image_url,variant_id,variant_title,sku,option1,option2,option3,price,compare_at_price,available,inventory_management,weight
14928460120436,The Cloning of Shredder [60] [Teenage Mutant Ninja Turtles] [Foil],the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:42-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/4c64ecc39544a964ff71cf7145b036534146939d_Asset_SIN_MTG_TMT_60_ENG_F.jpg?v=1770155311,53880821219700,PL,SIN-MTG-TMT-60-ENG-PL-F,PL,,,0.00,,False,,
14928458842484,Triceraton Commander [25] [Teenage Mutant Ninja Turtles] [Non-Foil],triceraton-commander-25-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:29-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/triceraton-commander-25-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/1af98ca823500095d21b340bd4790071edf45e23_Asset_SIN_MTG_TMT_25_ENG_NF.jpg?v=1770155301,53880818696564,NM,SIN-MTG-TMT-25-ENG-NM-NF,NM,,,9.99,9.99,True,,
14928458842484,Triceraton Commander [25] [Teenage Mutant Ninja Turtles] [Non-Foil],triceraton-commander-25-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:29-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/triceraton-commander-25-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/1af98ca823500095d21b340bd4790071edf45e23_Asset_SIN_MTG_TMT_25_ENG_NF.jpg?v=1770155301,53880818729332,PL,SIN-MTG-TMT-25-ENG-PL-NF,PL,,,0.00,,False,,
14928458809716,Triceraton Commander [25] [Teenage Mutant Ninja Turtles] [Foil],triceraton-commander-25-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:29-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/triceraton-commander-25-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/e1bd4afffc384d2bea22f11862a2cfb69d416203_Asset_SIN_MTG_TMT_25_ENG_F.jpg?v=1770155300,53880818631028,NM,SIN-MTG-TMT-25-ENG-NM-F,NM,,,12.99,12.99,True,,
14928458809716,Triceraton Commander [25] [Teenage Mutant Ninja Turtles] [Foil],triceraton-commander-25-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:29-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/triceraton-commander-25-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/e1bd4afffc384d2bea22f11862a2cfb69d416203_Asset_SIN_MTG_TMT_25_ENG_F.jpg?v=1770155300,53880818663796,PL,SIN-MTG-TMT-25-ENG-PL-F,PL,,,0.00,,False,,
14928457761140,"Tokka & Rahzar, Terrible Twos [171] [Teenage Mutant Ninja Turtles] [Foil]",tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:26-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/c45ccc6289605ffd20c23a21497b38efdf7c1fde_Asset_SIN_MTG_TMT_171_ENG_F.jpg?v=1770155293,53880816533876,NM,SIN-MTG-TMT-171-ENG-NM-F,NM,,,4.99,4.99,True,,
14928457761140,"Tokka & Rahzar, Terrible Twos [171] [Teenage Mutant Ninja Turtles] [Foil]",tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:26-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/c45ccc6289605ffd20c23a21497b38efdf7c1fde_Asset_SIN_MTG_TMT_171_ENG_F.jpg?v=1770155293,53880816566644,PL,SIN-MTG-TMT-171-ENG-PL-F,PL,,,0.00,,False,,
14928457728372,"Tokka & Rahzar, Terrible Twos [171] [Teenage Mutant Ninja Turtles] [Non-Foil]",tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:26-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/139c82f99ab953debe30f78e8affdd8e20f3ad88_Asset_SIN_MTG_TMT_171_ENG_NF.jpg?v=1770155292,53880816468340,NM,SIN-MTG-TMT-171-ENG-NM-NF,NM,,,3.99,3.99,True,,
14928457728372,"Tokka & Rahzar, Terrible Twos [171] [Teenage Mutant Ninja Turtles] [Non-Foil]",tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:26-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/tokka-rahzar-terrible-twos-171-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/139c82f99ab953debe30f78e8affdd8e20f3ad88_Asset_SIN_MTG_TMT_171_ENG_NF.jpg?v=1770155292,53880816501108,PL,SIN-MTG-TMT-171-ENG-PL-NF,PL,,,0.00,,False,,
14928459956596,The Cloning of Shredder [60] [Teenage Mutant Ninja Turtles] [Non-Foil],the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:42-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/005cbed1ac7931f609a629294ddf95307e20b1af_Asset_SIN_MTG_TMT_60_ENG_NF.jpg?v=1770155312,53880820793716,NM,SIN-MTG-TMT-60-ENG-NM-NF,NM,,,9.99,9.99,True,,
